x,y,z,yaw,velocity,change_flag
705.6460,-5125.5717,0.0000,0.3129,33.9304,0
709.1819,-5124.4430,0.0000,0.3152,32.9986,0
710.2239,-5124.1032,0.0000,0.3156,32.6896,0
711.3428,-5123.7527,0.0000,0.3162,32.3869,0
712.3592,-5123.4128,0.0000,0.3162,32.0531,0
713.4524,-5123.0621,0.0000,0.3162,31.7232,0
714.5371,-5122.7114,0.0000,0.3160,31.4141,0
715.5279,-5122.3936,0.0000,0.3160,31.1223,0
716.5955,-5122.0539,0.0000,0.3162,30.7924,0
717.6460,-5121.7142,0.0000,0.3162,30.4865,0
718.6880,-5121.3744,0.0000,0.3158,30.1737,0
721.3528,-5120.5085,0.0000,0.3147,29.3124,0
722.3521,-5120.1907,0.0000,0.3139,28.9929,0
723.3428,-5119.8729,0.0000,0.3131,28.6839,0
724.4019,-5119.5332,0.0000,0.3125,28.3122,0
725.3670,-5119.2264,0.0000,0.3116,27.9824,0
726.4004,-5118.8977,0.0000,0.3104,27.6492,0
727.4168,-5118.5800,0.0000,0.3091,27.2779,0
728.4246,-5118.2623,0.0000,0.3078,26.9624,0
729.4153,-5117.9445,0.0000,0.3060,26.6188,0
730.3890,-5117.6377,0.0000,0.3043,26.2477,0
733.2585,-5116.7616,0.0000,0.3003,25.2070,0
734.3175,-5116.4329,0.0000,0.2987,24.7877,0
735.2997,-5116.1373,0.0000,0.2974,24.4306,0
736.3245,-5115.8196,0.0000,0.2959,24.0074,0
737.3408,-5115.5241,0.0000,0.2943,23.6305,0
738.3912,-5115.2066,0.0000,0.2926,23.1727,0
739.3733,-5114.9220,0.0000,0.2913,22.7602,0
740.4493,-5114.6046,0.0000,0.2899,22.2951,0
743.1138,-5113.8164,0.0000,0.2874,21.1294,0
744.1129,-5113.5319,0.0000,0.2870,20.6663,0
745.0950,-5113.2474,0.0000,0.2878,20.2075,0
746.1625,-5112.9299,0.0000,0.2890,19.7370,0
747.1958,-5112.6234,0.0000,0.2901,19.2497,0
748.2121,-5112.3279,0.0000,0.2915,18.8183,0
749.2540,-5112.0214,0.0000,0.2932,18.3553,0
750.2190,-5111.7257,0.0000,0.2949,17.9334,0
751.8331,-5111.2439,0.0000,0.2997,16.8679,0
752.8494,-5110.9373,0.0000,0.3032,16.2065,0
753.8572,-5110.6196,0.0000,0.3087,15.4097,0
754.8479,-5110.3018,0.0000,0.3187,14.5431,0
755.8131,-5109.9839,0.0000,0.3334,13.6263,0
756.8039,-5109.6328,0.0000,0.3543,12.5720,0
757.9146,-5109.2045,0.0000,0.3954,11.3193,0
758.8801,-5108.7867,0.0000,0.4435,10.2962,0
759.7947,-5108.3243,0.0000,0.5164,9.1368,0
760.6755,-5107.7729,0.0000,0.6178,8.0302,0
761.5485,-5107.0551,0.0000,0.7833,6.9844,0
762.2083,-5106.3030,0.0000,0.9547,6.2430,0
762.8701,-5105.0848,0.0000,1.2510,4.4615,0
763.0960,-5104.0868,0.0000,1.4809,4.1007,0
763.1087,-5103.0768,0.0000,1.6598,3.9983,0
762.9507,-5102.0772,0.0000,1.8383,4.1914,0
762.5964,-5101.1323,0.0000,2.0538,4.4514,0
762.0284,-5100.2753,0.0000,2.2920,5.2611,0
761.1106,-5099.4613,0.0000,2.5790,5.9575,0
760.1827,-5099.0024,0.0000,2.8170,6.5906,0
759.1688,-5098.7540,0.0000,3.0254,7.2727,0
758.0175,-5098.7049,0.0000,-3.0856,8.1724,0
757.0021,-5098.7895,0.0000,-2.9872,8.7946,0
755.9778,-5098.9740,0.0000,-2.9234,9.4950,0
754.9447,-5099.2250,0.0000,-2.8862,10.2969,0
753.8261,-5099.5090,0.0000,-2.8743,11.0926,0
752.8356,-5099.7824,0.0000,-2.8718,11.9299,0
751.8365,-5100.0558,0.0000,-2.8728,12.6545,0
750.8460,-5100.3181,0.0000,-2.8741,13.2461,0
749.8469,-5100.5915,0.0000,-2.8749,13.8214,0
748.0964,-5101.0616,0.0000,-2.8764,14.7647,0
747.1059,-5101.3239,0.0000,-2.8774,15.3217,0
746.0897,-5101.5972,0.0000,-2.8781,15.8304,0
745.0906,-5101.8705,0.0000,-2.8785,16.2487,0
744.1172,-5102.1218,0.0000,-2.8789,16.6322,0
743.0925,-5102.4062,0.0000,-2.8799,17.0957,0
742.0679,-5102.6683,0.0000,-2.8810,17.4361,0
740.4028,-5103.1166,0.0000,-2.8831,18.1530,0
739.4037,-5103.3788,0.0000,-2.8843,18.4991,0
738.3962,-5103.6411,0.0000,-2.8856,18.8290,0
737.3630,-5103.9143,0.0000,-2.8868,19.1836,0
736.3127,-5104.1764,0.0000,-2.8881,19.4789,0
735.2369,-5104.4494,0.0000,-2.8893,19.8436,0
734.2635,-5104.7007,0.0000,-2.8898,20.1258,0
733.2730,-5104.9519,0.0000,-2.8906,20.4349,0
731.0189,-5105.5198,0.0000,-2.8925,21.0424,0
729.9857,-5105.7819,0.0000,-2.8931,21.3357,0
728.9440,-5106.0551,0.0000,-2.8937,21.6206,0
727.8767,-5106.3171,0.0000,-2.8940,21.9110,0
726.8692,-5106.5682,0.0000,-2.8944,22.1294,0
725.7933,-5106.8413,0.0000,-2.8946,22.3798,0
724.8200,-5107.0815,0.0000,-2.8948,22.6143,0
722.3012,-5107.7038,0.0000,-2.8956,23.3178,0
721.2253,-5107.9768,0.0000,-2.8958,23.5842,0
720.1324,-5108.2498,0.0000,-2.8958,23.8480,0
719.1590,-5108.4900,0.0000,-2.8960,24.0611,0
718.1771,-5108.7301,0.0000,-2.8962,24.2503,0
717.1269,-5108.9922,0.0000,-2.8963,24.4555,0
716.0596,-5109.2653,0.0000,-2.8965,24.7566,0
714.9838,-5109.5272,0.0000,-2.8962,24.9538,0
713.9677,-5109.7783,0.0000,-2.8954,25.1350,0
712.9517,-5110.0294,0.0000,-2.8950,25.3322,0
710.8598,-5110.5536,0.0000,-2.8937,25.8012,0
709.8181,-5110.8156,0.0000,-2.8931,25.9719,0
708.8277,-5111.0558,0.0000,-2.8925,26.1530,0
707.7689,-5111.3289,0.0000,-2.8919,26.3503,0
706.7699,-5111.5800,0.0000,-2.8916,26.5424,0
705.6940,-5111.8531,0.0000,-2.8912,26.5609,0
704.6865,-5112.1042,0.0000,-2.8906,26.5263,0
703.6192,-5112.3773,0.0000,-2.8902,26.3211,0
702.6372,-5112.6285,0.0000,-2.8896,25.9243,0
699.9390,-5113.3167,0.0000,-2.8889,23.8699,0
698.8718,-5113.5787,0.0000,-2.8887,22.8837,0
697.8983,-5113.8299,0.0000,-2.8883,21.9781,0
696.8566,-5114.1031,0.0000,-2.8881,20.8669,0
695.8747,-5114.3544,0.0000,-2.8879,19.6731,0
694.8501,-5114.6054,0.0000,-2.8881,18.3489,0
693.7998,-5114.8786,0.0000,-2.8889,16.8778,0
691.7250,-5115.3917,0.0000,-2.9021,13.7521,0
690.7432,-5115.6207,0.0000,-2.9146,12.0810,0
689.7613,-5115.8498,0.0000,-2.9305,10.4033,0
688.7796,-5116.0455,0.0000,-2.9585,9.2783,0
