x,y,z,yaw,velocity,change_flag
709.0707,-5128.6603,0.0000,0.2362,27.5181,0
711.6064,-5128.0714,0.0000,0.2380,27.6544,0
712.6566,-5127.8204,0.0000,0.2383,27.7018,0
713.6300,-5127.5803,0.0000,0.2393,27.7416,0
714.7484,-5127.3185,0.0000,0.2405,27.7439,0
715.7986,-5127.0675,0.0000,0.2424,27.7973,0
716.7805,-5126.8274,0.0000,0.2435,27.8582,0
717.8307,-5126.5764,0.0000,0.2451,27.9088,0
718.8126,-5126.3252,0.0000,0.2466,27.9541,0
719.7860,-5126.0850,0.0000,0.2477,27.9888,0
723.0306,-5125.2659,0.0000,0.2523,28.0832,0
724.0126,-5125.0147,0.0000,0.2535,28.1072,0
725.0713,-5124.7416,0.0000,0.2550,28.1155,0
726.0533,-5124.4903,0.0000,0.2562,28.1234,0
727.0438,-5124.2391,0.0000,0.2575,28.1479,0
728.0940,-5123.9771,0.0000,0.2585,28.1289,0
729.0844,-5123.7259,0.0000,0.2598,28.1351,0
730.0664,-5123.4635,0.0000,0.2608,28.1541,0
731.1252,-5123.1904,0.0000,0.2621,28.1230,0
732.0987,-5122.9280,0.0000,0.2631,28.0062,0
733.0721,-5122.6656,0.0000,0.2640,27.8761,0
736.0352,-5121.8787,0.0000,0.2671,27.2303,0
737.0513,-5121.6054,0.0000,0.2679,26.8680,0
738.0504,-5121.3320,0.0000,0.2684,26.5357,0
739.1092,-5121.0478,0.0000,0.2688,26.1705,0
740.1510,-5120.7635,0.0000,0.2692,25.8005,0
741.2525,-5120.4683,0.0000,0.2696,25.4488,0
742.3285,-5120.1731,0.0000,0.2698,25.0636,0
743.3361,-5119.8998,0.0000,0.2700,24.8919,0
744.3950,-5119.6044,0.0000,0.2706,24.7831,0
745.4624,-5119.3202,0.0000,0.2707,24.8072,0
748.2462,-5118.5547,0.0000,0.2719,24.7196,0
749.3050,-5118.2705,0.0000,0.2725,24.7090,0
750.2956,-5117.9971,0.0000,0.2727,24.7419,0
751.3545,-5117.7018,0.0000,0.2729,24.7343,0
752.3450,-5117.4284,0.0000,0.2732,24.7390,0
753.4039,-5117.1331,0.0000,0.2736,24.7191,0
754.4542,-5116.8488,0.0000,0.2740,24.6950,0
755.4448,-5116.5754,0.0000,0.2742,24.6950,0
756.5037,-5116.2801,0.0000,0.2742,24.6784,0
758.5531,-5115.7113,0.0000,0.2729,24.5502,0
759.5949,-5115.4270,0.0000,0.2713,24.3679,0
760.5683,-5115.1646,0.0000,0.2686,24.1721,0
761.6016,-5114.8803,0.0000,0.2650,23.8559,0
762.6775,-5114.5962,0.0000,0.2606,23.4189,0
763.6765,-5114.3450,0.0000,0.2552,23.0096,0
764.6585,-5114.0826,0.0000,0.2479,22.6305,0
765.7428,-5113.8207,0.0000,0.2397,22.1615,0
767.9711,-5113.3082,0.0000,0.2176,21.1849,0
768.9956,-5113.0904,0.0000,0.2034,20.7427,0
